,id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
63,1028445,0,3068,3083,3742,3009,3001,3211,3340,6,7,22,6,1,1,1010,0,0,0,0,0,128695,86031,37565,5098,0,21816,11996,9636,184,8047,1,55829,12919,1729,30,0,50024,15203,32850,1970,14656,14675,0,0,194,2,0,2,296,17,1,0,15,4,0
64,1028446,0,3069,3107,3800,3504,3190,3117,3340,4,4,33,2,1,1,920,0,0,0,0,0,35768,24341,9175,2251,168,14071,9451,3371,1248,5587,5,17654,4286,2566,30,0,26397,13457,12723,216,14765,15400,0,0,29,0,0,0,421,17,1,0,16,3,0
65,1028447,0,1401,3143,3800,3026,3071,3047,3340,16,7,14,7,2,3,614,2,0,0,0,0,200387,44273,132887,23226,0,26352,1828,17579,6945,14477,1,45150,13820,3483,37,0,47388,18081,27965,1342,17072,15100,4,0,109,76,49,27,1052,18,1,0,20,0,0
66,1028448,1,1400,3111,3078,3071,3742,2055,3364,14,12,7,3,2,3,350,1,0,0,0,0,175776,2110,162325,11340,0,28329,0,26033,2296,11183,1,48036,26891,2788,28,0,40995,10609,28564,1822,16034,13958,1,0,20,83,51,32,383,18,4,0,3,2,0
67,1028449,1,3089,3157,3020,3135,0,3165,3340,6,10,9,3,2,2,603,1,0,0,0,0,155038,137133,15181,2724,0,24445,22381,911,1152,2093,1,15266,7154,2943,20,0,23525,12368,9265,1891,15357,14200,0,0,215,1,1,0,1368,18,0,0,12,2,0
68,1028450,1,3074,3142,3033,3071,3156,1033,3363,11,12,4,2,2,3,344,1,0,0,0,0,202460,2426,197666,2368,0,30701,2053,28226,422,1051,1,35833,4300,3297,35,0,34443,11041,21446,1956,17426,16495,1,1,233,31,21,10,295,18,1,0,11,3,0
69,1028451,1,3031,3072,3006,3046,3026,0,3340,0,11,15,0,0,0,270,0,0,0,0,0,230500,0,227892,2607,1199,25498,0,24958,540,5786,3,20261,11141,9118,4,0,27897,5185,20741,1970,15469,13925,2,0,243,18,13,5,166,18,1,0,1,2,0
70,1028452,1,3092,3157,3151,3111,3135,0,3340,6,8,11,2,1,2,407,0,0,0,0,0,126690,113846,10593,2249,0,41020,37859,1736,1424,1719,4,9133,9039,3304,17,0,17762,6796,9341,1625,15083,12375,0,0,71,7,6,1,400,17,1,0,9,2,0
71,1028453,1,3742,2033,3144,3047,3156,1043,3340,2,7,12,0,1,0,469,0,0,0,0,0,84536,5279,79207,49,0,18197,5279,12868,49,12977,1,319,0,2908,0,0,37464,10107,25630,1727,11248,10250,2,1,107,2,0,2,449,15,0,0,10,0,0
72,1028454,1,3157,3151,3158,3041,3165,1082,3340,9,12,13,2,1,1,222,0,0,0,0,0,86650,68314,17247,1088,0,32839,27747,4113,978,446,1,2449,0,2723,0,0,19283,4966,13155,1161,13055,12760,2,0,55,4,2,2,107,15,2,0,9,2,0
73,1028455,1,3072,3031,3046,3006,3094,3035,3340,8,12,12,2,1,2,237,0,0,0,0,0,198008,1635,196196,177,926,34579,573,33829,177,5363,2,2865,0,8707,0,0,29586,10572,18739,274,16707,16000,2,2,223,0,0,0,123,16,0,0,4,0,1
74,1028456,1,1413,3151,3047,3075,0,3800,3340,7,7,9,3,1,2,681,0,0,0,0,0,124986,89891,20584,14509,117,26873,22038,2043,2792,5142,1,1282,0,116,0,0,35604,15318,20037,248,12621,12075,0,0,47,56,30,26,241,15,0,0,11,0,0
75,1028457,1,3285,3152,3100,3026,1026,3020,3340,18,7,3,7,2,5,547,5,0,0,0,0,111759,92443,16449,2867,0,28022,22636,3004,2381,9042,1,467,0,7526,0,0,32465,12403,19883,178,14867,14525,3,1,125,0,0,0,314,15,3,0,14,1,0
76,1028458,0,3165,3157,3020,3285,1058,1026,3340,13,8,9,7,2,3,502,2,0,0,0,0,126938,117322,9231,384,0,34368,32465,1647,256,1583,1,542,0,1033,0,0,20653,12549,7728,376,13333,12800,0,0,158,0,0,0,129,16,0,0,7,3,0
77,1028459,0,3190,2303,3047,1029,1027,3109,3341,4,8,21,2,1,1,442,0,0,0,0,0,36365,27782,8583,0,0,10677,8629,2048,0,3769,5,1616,0,685,0,0,34100,16462,16132,1505,10149,9350,0,0,27,0,0,0,215,15,2,0,38,0,0
78,1028460,0,3508,3142,3006,3094,1037,0,3340,10,14,15,4,2,2,199,1,0,0,0,0,207483,11137,193902,2444,1214,28913,4061,24254,598,3571,4,0,0,1829,0,0,28145,11453,15993,698,14304,11825,1,0,221,2,1,1,355,16,0,0,6,1,0
79,1028461,0,3742,1408,3047,3065,3155,3211,3340,11,6,15,4,2,2,531,1,0,0,0,0,156161,35621,107419,13120,0,29491,6313,22937,240,9785,1,1269,0,0,0,0,43813,19096,22288,2428,13217,13325,0,0,43,75,47,28,773,17,0,0,27,0,0
80,1028462,0,1055,3071,2003,3047,3742,3065,3340,7,8,10,2,2,3,422,1,0,0,0,0,119105,1208,115381,2514,0,20083,1208,16379,2494,6341,1,0,0,1096,0,0,39976,20601,18005,1370,12401,10400,0,0,182,0,0,0,158,16,0,0,10,0,0
81,1028463,0,3107,2301,3117,1052,0,3157,3341,1,6,18,0,1,0,666,0,0,0,0,0,28104,22713,4722,669,0,12086,9736,1681,669,840,4,167,0,567,0,0,17618,7426,10032,160,9092,8860,0,0,15,0,0,0,160,11,1,0,34,7,0
82,1028464,0,1082,3001,2031,3146,3191,3020,3340,6,9,5,4,2,1,298,1,0,0,0,0,95874,84187,11005,682,0,14982,13122,1178,682,157,1,0,0,3361,0,0,16272,5049,11194,28,9423,8950,0,0,132,0,0,0,4,13,0,0,11,0,0
83,1028465,0,1054,3143,3111,3027,1031,1029,3363,3,8,5,2,1,1,448,0,0,0,0,0,71164,52365,13445,5353,0,7014,3746,1534,1733,2685,1,239,0,1025,0,0,26500,4844,21259,396,8834,8550,0,0,117,3,3,0,298,13,0,0,9,0,0
84,1028466,0,3077,2031,3065,3111,1031,1401,3364,5,8,4,0,1,0,637,0,0,0,0,0,97193,30016,59389,7787,0,8606,3893,3545,1168,4695,1,916,0,58,0,0,30997,5019,25937,40,9085,8825,0,0,29,56,37,19,1220,12,2,0,6,0,0
85,1028467,0,1038,3153,3071,3006,3094,1018,3340,14,5,4,6,2,3,764,2,0,0,0,0,121575,3201,117043,1331,581,18743,1062,17316,365,3759,3,243,0,3832,0,0,21691,9618,12044,28,12596,12700,2,0,150,11,10,1,239,14,0,0,6,0,1
86,1028468,1,3077,3068,3022,1001,1033,0,3340,4,5,12,0,1,0,781,0,0,0,0,0,78268,29630,47274,1364,0,8667,2721,5580,366,1785,1,1337,0,2079,0,0,21179,8282,12230,667,9231,8250,0,0,36,30,19,11,469,13,0,0,10,0,0
87,1028469,1,1055,3047,3153,1043,1042,1038,3340,1,5,15,0,1,0,730,0,0,0,0,0,66757,1798,64958,0,195,9305,1411,7894,0,1918,3,135,0,3427,0,0,9437,4541,4676,220,9010,7650,1,0,106,0,0,0,1027,14,0,0,10,0,0
88,1028470,1,1056,3157,3020,3285,3165,0,3340,12,6,11,5,2,3,780,1,0,0,0,0,91438,75026,16048,364,0,22647,21201,1445,0,1217,1,914,0,3649,0,0,12626,5965,5720,940,12404,10650,2,0,117,4,3,1,156,15,0,0,12,1,0
89,1028471,1,1031,3072,3111,3046,3031,3022,3340,19,4,5,9,3,3,481,3,2,0,0,0,198180,8318,188324,1538,749,43142,1981,40874,286,404,1,1567,0,4527,0,0,19112,8894,7995,2222,15938,15550,0,1,191,23,2,21,380,16,0,0,8,0,0
90,1028472,1,3401,3105,2045,3009,1033,0,3364,0,9,15,0,0,0,297,0,0,0,0,0,25663,7692,11803,6167,0,5426,2923,2502,0,3521,5,966,0,665,0,0,22347,7584,14195,568,8065,6825,2,0,33,0,0,0,83,13,3,0,16,3,0
91,1028473,0,1056,3165,3067,1001,0,0,3340,0,4,0,0,0,0,478,0,0,0,0,0,71067,63753,7314,0,0,6011,5285,726,0,1207,1,562,0,0,0,0,12071,1053,10530,488,5686,4675,0,0,138,0,0,0,257,11,1,0,5,0,0
92,1028474,0,3053,3111,3057,0,0,0,3340,2,7,0,0,1,0,566,0,0,0,0,0,41688,4669,37019,0,0,5689,1115,4574,0,725,1,406,0,2639,0,0,15812,1471,13882,458,5540,5050,1,0,90,0,0,0,54,10,0,0,4,0,0
93,1028475,0,1400,3134,2031,1001,0,0,3340,3,3,0,2,1,1,843,0,0,0,0,0,37770,13405,19897,4468,230,6650,3813,1991,846,2346,1,169,0,0,0,0,11388,1794,9542,52,5266,4650,0,0,10,24,15,9,375,9,1,0,6,2,0
94,1028476,0,3098,0,2049,3117,0,0,3340,0,3,2,0,0,0,975,0,0,0,0,0,6814,5599,1214,0,0,2336,1769,567,0,365,1,440,0,0,0,0,8620,1636,6791,192,4328,3200,0,0,4,0,0,0,200,9,2,0,21,1,0
95,1028477,0,1055,3508,0,1001,0,2055,3340,0,3,2,0,0,0,975,0,0,0,0,0,55207,2820,52386,0,317,7072,1340,5731,0,930,2,0,0,0,0,0,8445,1671,6650,124,5445,4475,0,0,115,0,0,0,0,10,1,0,4,1,0
96,1028478,1,1416,2031,3074,1001,0,0,3340,2,1,5,0,1,0,567,0,0,0,0,0,95342,2761,84249,8332,0,4113,0,3551,562,4743,1,65,0,2837,0,0,15664,3109,12555,0,8302,6575,2,0,16,82,51,31,746,12,0,0,8,2,0
97,1028479,1,1055,3046,1001,3031,1053,0,3340,13,1,2,13,3,1,547,3,2,0,0,0,119426,16066,101679,1681,583,18879,2599,16091,188,578,1,599,0,4077,0,0,13660,2673,10482,504,10465,8025,2,0,124,20,3,17,231,14,1,0,6,0,0
98,1028480,1,3156,3077,0,1053,1001,0,3340,3,0,2,3,1,1,0,0,0,0,0,0,87217,4259,82393,564,0,10293,675,9054,564,741,1,102,0,2627,0,0,6933,3571,3362,0,7808,5800,0,0,149,0,0,0,161,13,0,0,4,2,1
99,1028481,1,3069,2049,1001,0,0,0,3341,1,1,9,0,1,0,979,0,0,0,0,0,11700,6782,4918,0,0,4044,3445,599,0,3383,5,992,0,1474,0,0,6289,2280,4008,0,6526,3975,1,0,10,1,0,1,59,11,1,0,14,1,0
